Date,Direction,Stock,Sentiment,Count
11/12/2020,-1,aapl,1,1
11/11/2020,1,aapl,0,2
11/10/2020,1,aapl,1,2
11/9/2020,-1,aapl,1,2
11/6/2020,1,aapl,-1,2
11/4/2020,1,aapl,1,1
11/3/2020,1,aapl,1,1
11/2/2020,-1,aapl,1,2
10/30/2020,-1,aapl,1,4
10/29/2020,1,aapl,1,5
10/28/2020,-1,aapl,0.333333333,3
10/26/2020,1,aapl,1,4
10/23/2020,-1,aapl,1,2
10/22/2020,-1,aapl,0,2
10/21/2020,1,aapl,0.5,4
10/20/2020,1,aapl,1,4
10/16/2020,-1,aapl,1,3
10/15/2020,1,aapl,1,4
10/14/2020,1,aapl,1,3
10/13/2020,-1,aapl,0.571428571,14
10/12/2020,1,aapl,0.857142857,14
10/9/2020,1,aapl,1,6
10/8/2020,-1,aapl,1,2
10/7/2020,1,aapl,0.2,5
10/6/2020,-1,aapl,0.666666667,6
10/5/2020,1,aapl,1,4
10/2/2020,1,aapl,0.714285714,7
10/1/2020,-1,aapl,1,2
9/30/2020,1,aapl,1,2
9/25/2020,1,aapl,1,4
9/23/2020,-1,aapl,0.6,5
9/22/2020,-1,aapl,1,2
9/21/2020,1,aapl,0.6,5
9/18/2020,-1,aapl,1,12
9/17/2020,1,aapl,1,9
9/16/2020,-1,aapl,0.25,8
9/15/2020,-1,aapl,1,5
9/14/2020,1,aapl,1,5
9/11/2020,-1,aapl,0.666666667,6
9/10/2020,-1,aapl,0.714285714,7
9/9/2020,1,aapl,0.333333333,3
9/8/2020,-1,aapl,0.75,8
9/4/2020,1,aapl,0.75,8
9/3/2020,-1,aapl,0.5,8
9/2/2020,-1,aapl,0.428571429,7
9/1/2020,1,aapl,0.833333333,12
8/31/2020,1,aapl,0.428571429,7
8/28/2020,-1,aapl,0.75,8
8/27/2020,-1,aapl,0.333333333,3
8/26/2020,1,aapl,0.714285714,7
8/25/2020,1,aapl,0.5,8
8/24/2020,-1,aapl,0.384615385,13
8/21/2020,1,aapl,0.142857143,7
8/20/2020,1,aapl,1,9
8/19/2020,-1,aapl,1,5
8/18/2020,1,aapl,1,2
8/17/2020,-1,aapl,1,5
8/14/2020,1,aapl,1,4
8/13/2020,1,aapl,0,2
8/12/2020,1,aapl,0.333333333,6
8/11/2020,-1,aapl,0.333333333,9
8/10/2020,1,aapl,0.636363636,11
8/7/2020,-1,aapl,0.6,10
8/6/2020,1,aapl,0.333333333,3
8/5/2020,1,aapl,0.666666667,6
8/4/2020,1,aapl,1,3
8/3/2020,1,aapl,0.714285714,7
7/31/2020,1,aapl,0.375,16
7/30/2020,1,aapl,0.714285714,7
7/29/2020,1,aapl,1,2
7/28/2020,-1,aapl,1,1
7/27/2020,1,aapl,1,4
7/24/2020,1,aapl,1,4
7/23/2020,-1,aapl,1,7
7/22/2020,1,aapl,0.714285714,7
7/21/2020,-1,aapl,0.333333333,3
7/20/2020,1,aapl,1,2
7/17/2020,-1,aapl,0.6,5
7/16/2020,-1,aapl,1,2
7/15/2020,-1,aapl,1,2
7/14/2020,1,aapl,0.75,8
7/13/2020,-1,aapl,0.75,8
7/10/2020,1,aapl,1,3
7/9/2020,-1,aapl,0.333333333,3
7/8/2020,1,aapl,0.333333333,3
7/7/2020,-1,aapl,1,1
7/6/2020,1,aapl,1,1
7/2/2020,-1,aapl,-1,1
7/1/2020,-1,aapl,0.333333333,3
6/30/2020,1,aapl,1,1
6/29/2020,1,aapl,0.5,4
6/26/2020,-1,aapl,0,2
6/24/2020,-1,aapl,-1,1
6/23/2020,1,aapl,0.333333333,3
6/22/2020,1,aapl,1,1
6/19/2020,-1,aapl,0.5,4
6/18/2020,1,aapl,1,1
6/16/2020,1,aapl,0,2
6/15/2020,1,aapl,0.333333333,3
6/12/2020,-1,aapl,1,2
6/11/2020,-1,aapl,1,4
6/10/2020,1,aapl,0.2,5
6/9/2020,1,aapl,1,4
6/8/2020,1,aapl,1,2
6/5/2020,1,aapl,1,2
6/4/2020,-1,aapl,1,1
6/2/2020,1,aapl,0,2
5/29/2020,-1,aapl,1,4
5/26/2020,-1,aapl,0,2
5/22/2020,1,aapl,0.2,5
5/21/2020,-1,aapl,1,1
5/20/2020,1,aapl,0.6,5
5/18/2020,1,aapl,0,2
5/15/2020,1,aapl,1,2
5/14/2020,1,aapl,1,3
5/13/2020,-1,aapl,1,1
5/12/2020,-1,aapl,1,2
5/11/2020,1,aapl,1,2
5/8/2020,1,aapl,1,6
5/7/2020,1,aapl,1,1
5/6/2020,1,aapl,0.333333333,3
5/5/2020,1,aapl,1,1
5/4/2020,1,aapl,1,1
5/1/2020,1,aapl,1,1
4/30/2020,1,aapl,1,4
4/29/2020,1,aapl,1,1
4/28/2020,-1,aapl,1,1
4/27/2020,1,aapl,1,2
4/24/2020,1,aapl,0.777777778,9
4/23/2020,-1,aapl,1,1
4/22/2020,1,aapl,1,4
4/21/2020,-1,aapl,-1,1
4/17/2020,-1,aapl,1,4
4/16/2020,-1,aapl,1,3
4/15/2020,1,aapl,1,1
4/14/2020,1,aapl,0.333333333,3
4/13/2020,1,aapl,0.5,4
4/9/2020,-1,aapl,1,4
4/8/2020,1,aapl,0.333333333,3
4/7/2020,-1,aapl,1,2
4/6/2020,1,aapl,1,1
4/3/2020,-1,aapl,0.666666667,6
4/2/2020,1,aapl,1,1
4/1/2020,-1,aapl,1,2
3/31/2020,-1,aapl,1,1
3/30/2020,1,aapl,1,5
3/27/2020,-1,aapl,1,3
3/26/2020,1,aapl,1,2
3/25/2020,-1,aapl,0,2
3/24/2020,1,aapl,1,2
3/23/2020,-1,aapl,1,5
3/20/2020,-1,aapl,0.6,5
3/19/2020,-1,aapl,0,2
3/18/2020,1,aapl,1,2
3/17/2020,1,aapl,-1,1
3/16/2020,1,aapl,0.333333333,3
3/13/2020,1,aapl,1,2
3/12/2020,-1,aapl,-1,1
3/9/2020,1,aapl,0,2
3/6/2020,1,aapl,0.6,5
3/4/2020,1,aapl,1,2
3/3/2020,-1,aapl,-1,1
2/28/2020,1,aapl,0.6,5
2/27/2020,-1,aapl,1,2
2/26/2020,1,aapl,0.333333333,3
2/25/2020,-1,aapl,1,1
2/24/2020,1,aapl,-1,1
2/21/2020,-1,aapl,1,2
2/19/2020,1,aapl,1,1
2/18/2020,1,aapl,1,1
2/14/2020,1,aapl,1,1
2/12/2020,1,aapl,1,1
2/11/2020,-1,aapl,1,2
2/10/2020,1,aapl,1,4
2/7/2020,-1,aapl,1,2
2/6/2020,1,aapl,1,1
2/5/2020,-1,aapl,1,1
2/4/2020,1,aapl,1,1
2/3/2020,1,aapl,1,2
1/31/2020,-1,aapl,1,4
1/30/2020,1,aapl,1,1
1/29/2020,-1,aapl,1,2
1/28/2020,1,aapl,0,2
1/27/2020,-1,aapl,0.333333333,3
1/24/2020,-1,aapl,1,2
1/21/2020,-1,aapl,1,1
1/17/2020,1,aapl,1,1
1/16/2020,1,aapl,1,1
1/15/2020,-1,aapl,1,2
1/14/2020,-1,aapl,0,2
1/13/2020,1,aapl,1,3
1/10/2020,-1,aapl,1,2
1/9/2020,1,aapl,1,1
1/8/2020,1,aapl,1,2
1/7/2020,-1,aapl,1,1
1/3/2020,1,aapl,1,6
1/2/2020,1,aapl,1,2
